"Density
(P/Km2)",Agricultural Land( %),Armed Forces size,Co2-Emissions,CPI,Gasoline Price,GDP,Gross primary education enrollment (%),Gross tertiary education enrollment (%),Infant mortality,Minimum wage,Out of pocket health expenditure,Physicians per thousand,Population: Labor force participation (%),Tax revenue (%),Total tax rate,Unemployment rate,Urban_population,Latitude,Longitude,Deforestation_Critical
2.9444389791664403,17.4,12.666660207428574,11.918437238656205,5.026246141610404,0.28,25.858995073949465,109.9,51.4,3.0492730404820207,0.6678293725756554,28.1,1.72,41.2,37.2,66.1,11.7,17.26581871905996,28.033886,1.659626,0
3.295836866004329,47.5,11.669937760751914,10.454322040321355,5.571126888877067,0.97,25.273297617901143,113.5,9.3,3.962716119743664,0.5364933705145686,33.4,0.21,77.5,9.2,49.1,6.89,16.86293478143214,-11.202692,17.873887,1
2.8903717578961645,54.3,11.561725152903833,12.212794999790983,5.4542521681687965,1.1,26.831765244241744,109.7,90.0,2.2823823856765264,1.4701758451005928,17.6,3.96,61.3,10.1,104.95500000000008,9.79,17.53733075899546,-38.416097,-63.616672,1
4.700480365792417,32.4,9.952325334619427,11.025962841468765,4.779627567725244,1.2,26.82429023409275,103.1,85.1,1.3609765531356004,2.3111483236545336,17.9,5.17,60.7,25.4,51.4,4.67,15.463094952926332,47.516231,14.550072,0
7.714231144849085,11.1,9.852246888342531,10.363914218718266,4.775672165976704,0.43,24.375846103990675,99.4,50.5,1.9600947840472696,1.2137250957686143,25.1,0.93,73.4,4.2,13.8,0.71,14.198805037272455,26.0667,50.5577,0
4.691347882229144,33.3,9.39274525863144,8.776012719182917,4.715906227582757,0.72,23.38984863362953,122.0,12.3,4.119037174812473,0.3293037471426003,40.5,0.08,70.9,10.8,48.9,2.23,15.54683861587621,9.30769,2.315834,1
3.044522437723423,13.6,8.699681400989514,7.140453043101158,5.125034834404752,0.98,21.617995429864685,100.1,15.6,3.250374491927572,0.2776317365982795,19.8,0.42,66.7,16.0,35.3,2.34,12.668355924416996,27.514162,90.433601,0
3.258096538021482,33.9,13.500801182986647,13.043969309976317,5.126342101808226,1.02,28.24065517931946,115.4,51.3,2.624668592163159,0.9282193027394288,28.3,2.15,63.9,14.2,65.1,12.08,19.02631628786823,-14.235004,-51.92528,1
4.174387269895637,46.3,10.34177474101152,10.638472211837653,4.7485776492828204,1.11,25.177613133211548,89.3,71.0,1.9315214116032136,0.9439058989071284,47.7,4.03,55.4,20.2,28.3,4.34,15.474886166377448,42.733883,25.48583,0
4.343805421853684,44.2,9.305741456739437,8.137103389639302,4.678234756845097,0.98,23.47984015006741,96.1,6.5,3.912023005428146,0.29266961396282,36.1,0.08,66.4,15.0,41.3,6.26,15.622544443743449,12.238333,-1.561593,1
